         0.000000/1559833828.487448 [dpd] Registering analyzer IRC for port 6669/1
         0.000000/1559833828.488198 [dpd] Registering analyzer IRC for port 6668/1
         0.000000/1559833828.488219 [dpd] Registering analyzer IRC for port 6666/1
         0.000000/1559833828.488244 [dpd] Registering analyzer IRC for port 6667/1
         0.000000/1559833828.488371 [dpd] Registering analyzer SMTP for port 25/1
         0.000000/1559833828.488403 [dpd] Registering analyzer SMTP for port 587/1
         0.000000/1559833828.488464 [dpd] Registering analyzer RADIUS for port 1812/2
         0.000000/1559833828.488527 [dpd] Registering analyzer SNMP for port 161/2
         0.000000/1559833828.488543 [dpd] Registering analyzer SNMP for port 162/2
         0.000000/1559833828.488704 [dpd] Registering analyzer HTTP for port 631/1
         0.000000/1559833828.488735 [dpd] Registering analyzer HTTP for port 1080/1
         0.000000/1559833828.488746 [dpd] Registering analyzer HTTP for port 8080/1
         0.000000/1559833828.488756 [dpd] Registering analyzer HTTP for port 81/1
         0.000000/1559833828.488766 [dpd] Registering analyzer HTTP for port 8888/1
         0.000000/1559833828.488793 [dpd] Registering analyzer HTTP for port 80/1
         0.000000/1559833828.488830 [dpd] Registering analyzer HTTP for port 8000/1
         0.000000/1559833828.488840 [dpd] Registering analyzer HTTP for port 3128/1
         0.000000/1559833828.488853 [dpd] Registering analyzer SSH for port 22/1
         0.000000/1559833828.488961 [dpd] Registering analyzer XMPP for port 5222/1
         0.000000/1559833828.488977 [dpd] Registering analyzer XMPP for port 5269/1
         0.000000/1559833828.489068 [dpd] Registering analyzer DCE_RPC for port 135/1
         0.000000/1559833828.489158 [dpd] Registering analyzer DNS for port 53/2
         0.000000/1559833828.489200 [dpd] Registering analyzer DNS for port 137/2
         0.000000/1559833828.489234 [dpd] Registering analyzer DNS for port 53/1
         0.000000/1559833828.489248 [dpd] Registering analyzer DNS for port 5355/2
         0.000000/1559833828.489260 [dpd] Registering analyzer DNS for port 5353/2
         0.000000/1559833828.489478 [dpd] Registering analyzer SSL for port 995/1
         0.000000/1559833828.489501 [dpd] Registering analyzer SSL for port 636/1
         0.000000/1559833828.489520 [dpd] Registering analyzer SSL for port 990/1
         0.000000/1559833828.489535 [dpd] Registering analyzer SSL for port 989/1
         0.000000/1559833828.489547 [dpd] Registering analyzer SSL for port 443/1
         0.000000/1559833828.489565 [dpd] Registering analyzer SSL for port 614/1
         0.000000/1559833828.489601 [dpd] Registering analyzer SSL for port 992/1
         0.000000/1559833828.489618 [dpd] Registering analyzer SSL for port 993/1
         0.000000/1559833828.489661 [dpd] Registering analyzer SSL for port 563/1
         0.000000/1559833828.489677 [dpd] Registering analyzer SSL for port 585/1
         0.000000/1559833828.489697 [dpd] Registering analyzer SSL for port 5223/1
         0.000000/1559833828.489729 [dpd] Registering analyzer DTLS for port 443/2
         0.000000/1559833828.489925 [dpd] Disabling analyzer SteppingStone
         0.000000/1559833828.489947 [dpd] Disabling analyzer InterConn
         0.000000/1559833828.489962 [dpd] Disabling analyzer TCPStats
         0.000000/1559833828.489978 [dpd] Disabling analyzer BackDoor
         0.000000/1559833828.490548 [dpd] Registering analyzer FTP for port 21/1
         0.000000/1559833828.490591 [dpd] Registering analyzer FTP for port 2811/1
         0.000000/1559833828.490697 [dpd] Registering analyzer SYSLOG for port 514/2
         0.000000/1559833828.490764 [dpd] Registering analyzer SOCKS for port 1080/1
         0.000000/1559833828.490785 [dpd] Registering analyzer KRB for port 88/2
         0.000000/1559833828.490800 [dpd] Registering analyzer KRB_TCP for port 88/1
         0.000000/1559833828.490948 [dpd] Registering analyzer SMB for port 139/1
         0.000000/1559833828.490967 [dpd] Registering analyzer SMB for port 445/1
         0.000000/1559833828.491048 [dpd] Registering analyzer SIP for port 5060/2
         0.000000/1559833828.491116 [dpd] Registering analyzer RDP for port 3389/1
         0.000000/1559833828.491212 [dpd] Registering analyzer MODBUS for port 502/1
         0.000000/1559833828.491252 [dpd] Registering analyzer IMAP for port 143/1
         0.000000/1559833828.491420 [dpd] Registering analyzer MYSQL for port 3306/1
         0.000000/1559833828.491438 [dpd] Registering analyzer MYSQL for port 1434/1
         0.000000/1559833828.491640 [dpd] Registering analyzer AYIYA for port 5072/2
         0.000000/1559833828.491664 [dpd] Registering analyzer TEREDO for port 3544/2
         0.000000/1559833828.491683 [dpd] Registering analyzer GTPV1 for port 2152/2
         0.000000/1559833828.491700 [dpd] Registering analyzer GTPV1 for port 2123/2
         0.000000/1559833828.491714 [dpd] Registering analyzer VXLAN for port 4789/2
         0.000000/1559833828.491963 [dpd] Registering analyzer DHCP for port 68/2
         0.000000/1559833828.491981 [dpd] Registering analyzer DHCP for port 4011/2
         0.000000/1559833828.491994 [dpd] Registering analyzer DHCP for port 67/2
         0.000000/1559833828.492044 [dpd] Registering analyzer DNP3_TCP for port 20000/2
         0.000000/1559833828.492064 [dpd] Registering analyzer DNP3_TCP for port 20000/1
         0.000000/1559833828.492374 [dpd] Available analyzers after zeek_init():
         0.000000/1559833828.492411 [dpd]     AYIYA (enabled)
         0.000000/1559833828.492417 [dpd]     BackDoor (disabled)
         0.000000/1559833828.492420 [dpd]     BitTorrent (enabled)
         0.000000/1559833828.492425 [dpd]     BitTorrentTracker (enabled)
         0.000000/1559833828.492430 [dpd]     ConnSize (enabled)
         0.000000/1559833828.492433 [dpd]     DCE_RPC (enabled)
         0.000000/1559833828.492437 [dpd]     DHCP (enabled)
         0.000000/1559833828.492441 [dpd]     DNP3_TCP (enabled)
         0.000000/1559833828.492444 [dpd]     DNP3_UDP (enabled)
         0.000000/1559833828.492448 [dpd]     Contents_DNS (enabled)
         0.000000/1559833828.492451 [dpd]     DNS (enabled)
         0.000000/1559833828.492455 [dpd]     FTP_Data (enabled)
         0.000000/1559833828.492460 [dpd]     IRC_Data (enabled)
         0.000000/1559833828.492465 [dpd]     Finger (enabled)
         0.000000/1559833828.492469 [dpd]     FTP (enabled)
         0.000000/1559833828.492475 [dpd]     FTP_ADAT (enabled)
         0.000000/1559833828.492480 [dpd]     Gnutella (enabled)
         0.000000/1559833828.492484 [dpd]     GSSAPI (enabled)
         0.000000/1559833828.492488 [dpd]     GTPv1 (enabled)
         0.000000/1559833828.492493 [dpd]     HTTP (enabled)
         0.000000/1559833828.492499 [dpd]     ICMP (enabled)
         0.000000/1559833828.492502 [dpd]     Ident (enabled)
         0.000000/1559833828.492507 [dpd]     IMAP (enabled)
         0.000000/1559833828.492512 [dpd]     InterConn (disabled)
         0.000000/1559833828.492516 [dpd]     IRC (enabled)
         0.000000/1559833828.492522 [dpd]     KRB (enabled)
         0.000000/1559833828.492525 [dpd]     KRB_TCP (enabled)
         0.000000/1559833828.492530 [dpd]     Contents_Rlogin (enabled)
         0.000000/1559833828.492535 [dpd]     Contents_Rsh (enabled)
         0.000000/1559833828.492540 [dpd]     Login (enabled)
         0.000000/1559833828.492544 [dpd]     NVT (enabled)
         0.000000/1559833828.492548 [dpd]     Rlogin (enabled)
         0.000000/1559833828.492553 [dpd]     Rsh (enabled)
         0.000000/1559833828.492558 [dpd]     Telnet (enabled)
         0.000000/1559833828.492563 [dpd]     MODBUS (enabled)
         0.000000/1559833828.492566 [dpd]     MySQL (enabled)
         0.000000/1559833828.492571 [dpd]     Contents_NCP (enabled)
         0.000000/1559833828.492576 [dpd]     NCP (enabled)
         0.000000/1559833828.492581 [dpd]     Contents_NetbiosSSN (enabled)
         0.000000/1559833828.492586 [dpd]     NetbiosSSN (enabled)
         0.000000/1559833828.492589 [dpd]     NTLM (enabled)
         0.000000/1559833828.492594 [dpd]     NTP (enabled)
         0.000000/1559833828.492602 [dpd]     PIA_TCP (enabled)
         0.000000/1559833828.492608 [dpd]     PIA_UDP (enabled)
         0.000000/1559833828.492612 [dpd]     POP3 (enabled)
         0.000000/1559833828.492617 [dpd]     RADIUS (enabled)
         0.000000/1559833828.492621 [dpd]     RDP (enabled)
         0.000000/1559833828.492626 [dpd]     RFB (enabled)
         0.000000/1559833828.492631 [dpd]     Contents_NFS (enabled)
         0.000000/1559833828.492637 [dpd]     Contents_RPC (enabled)
         0.000000/1559833828.492641 [dpd]     MOUNT (enabled)
         0.000000/1559833828.492645 [dpd]     NFS (enabled)
         0.000000/1559833828.492650 [dpd]     Portmapper (enabled)
         0.000000/1559833828.492653 [dpd]     SIP (enabled)
         0.000000/1559833828.492657 [dpd]     Contents_SMB (enabled)
         0.000000/1559833828.492661 [dpd]     SMB (enabled)
         0.000000/1559833828.492666 [dpd]     SMTP (enabled)
         0.000000/1559833828.492670 [dpd]     SNMP (enabled)
         0.000000/1559833828.492675 [dpd]     SOCKS (enabled)
         0.000000/1559833828.492679 [dpd]     SSH (enabled)
         0.000000/1559833828.492696 [dpd]     DTLS (enabled)
         0.000000/1559833828.492700 [dpd]     SSL (enabled)
         0.000000/1559833828.492704 [dpd]     SteppingStone (disabled)
         0.000000/1559833828.492709 [dpd]     Syslog (enabled)
         0.000000/1559833828.492713 [dpd]     CONTENTLINE (enabled)
         0.000000/1559833828.492717 [dpd]     Contents (enabled)
         0.000000/1559833828.492722 [dpd]     TCP (enabled)
         0.000000/1559833828.492726 [dpd]     TCPStats (disabled)
         0.000000/1559833828.492730 [dpd]     Teredo (enabled)
         0.000000/1559833828.492736 [dpd]     UDP (enabled)
         0.000000/1559833828.492739 [dpd]     VXLAN (enabled)
         0.000000/1559833828.492743 [dpd]     XMPP (enabled)
         0.000000/1559833828.492748 [dpd]     ZIP (enabled)
         0.000000/1559833828.492752 [dpd]  
         0.000000/1559833828.492756 [dpd] Analyzers by port:
         0.000000/1559833828.492762 [dpd]     21/tcp: FTP 
         0.000000/1559833828.492767 [dpd]     22/tcp: SSH 
         0.000000/1559833828.492771 [dpd]     25/tcp: SMTP 
         0.000000/1559833828.492776 [dpd]     53/tcp: DNS 
         0.000000/1559833828.492781 [dpd]     80/tcp: HTTP 
         0.000000/1559833828.492786 [dpd]     81/tcp: HTTP 
         0.000000/1559833828.492790 [dpd]     88/tcp: KRB_TCP 
